idrealestate;type;typeOfOffer;city;municipality;squareFootage;constructionYear;landArea;floorInfo;registration;heatingType;roomNo;bathroomNo;price;country;con;pl;pumpaIliKalorimetri
8003;flat;sale;Beograd;"Novi Beograd Blok 65";204;NULL;NULL;"8 / 9";Da;"Centralno, Klima";5;4;481000;Srbija;Novogradnja;NULL;kalorimetri
8051;home;sale;Budva;NULL;1264;1981;NULL;NULL;Da;Samostalno;8;8;2800000;"Crna Gora";Standardna;yes;NULL
8055;home;sale;Beograd;"Dedinje (RTV Pink)";450;1939;NULL;NULL;Da;"Centralno, Klima";8;4;1400000;Srbija;Izvorno;NULL;NULL
8059;home;sale;Beograd;Senjak;620;2008;NULL;NULL;Da;Samostalno;10;6;3800000;Srbija;Novogradnja;NULL;NULL
8074;home;sale;Beograd;Senjak;650;2015;NULL;NULL;Da;Klima;5;4;2500000;Srbija;Novogradnja;NULL;NULL
8077;home;sale;Beograd;Senjak;830;NULL;NULL;NULL;Da;Klima;9;6;2100000;Srbija;Novogradnja;NULL;NULL
8079;home;sale;Beograd;"Dedinje (RTV Pink)";500;NULL;NULL;NULL;Da;"Centralno, Klima";12;6;1400000;Srbija;Izvorno;NULL;NULL
8080;home;sale;Beograd;Topčider;810;2014;NULL;NULL;Da;Klima;10;9;2500000;Srbija;Novogradnja;NULL;NULL
8090;home;sale;Beograd;"Dedinje (RTV Pink)";275;NULL;NULL;NULL;Da;"Centralno, Klima";5;4;750000;Srbija;Novogradnja;NULL;NULL
8091;home;rent;Beograd;"Dedinje (RTV Pink)";600;NULL;NULL;NULL;NULL;"Samostalno, Klima";11;5;6000;Srbija;Novogradnja;NULL;NULL
8097;home;sale;Beograd;"Dedinje (RTV Pink)";315;NULL;NULL;NULL;Da;"Centralno, Klima";10;5;1000000;Srbija;Izvorno;NULL;NULL
8098;home;sale;Beograd;"Dedinje (25. maj)";460;NULL;NULL;NULL;Da;"Samostalno, Klima";6;4;1800000;Srbija;Izvorno;yes;NULL
8124;home;sale;Beograd;Topčider;1150;2008;NULL;NULL;Da;Samostalno;6;5;4650000;Srbija;Novogradnja;yes;NULL
8171;home;sale;Podgorica;"Sava Lubarde 35";356;NULL;NULL;NULL;Da;"Samostalno, Klima";NULL;8;NULL;"Crna Gora";Završena;NULL;NULL
8311;home;sale;Beograd;Jajinci;251;NULL;NULL;NULL;Da;Samostalno;6;5;256000;Srbija;Standardna;NULL;NULL
8662;home;sale;Beograd;"Borča I";300;NULL;NULL;NULL;NULL;"Samostalno, Klima";7;4;210000;Srbija;Novogradnja;NULL;NULL
9175;home;sale;Pančevo;"Nova misa";350;1995;NULL;NULL;Da;NULL;6;4;250000;Srbija;NULL;NULL;NULL
10022;home;sale;"Sremska Kamenica";"Tatarsko brdo";687;2010;NULL;NULL;Da;Klima;6;4;463500;Srbija;Novogradnja;NULL;NULL
